Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"St. Johns County, Florida",244674,43194,19779,8.08%,St. Johns County,Florida
"St. Lucie County, Florida",312947,27121,41284,13.19%,St. Lucie County,Florida
"Santa Rosa County, Florida",174755,31691,16210,9.28%,Santa Rosa County,Florida
"Sarasota County, Florida",419496,41081,37035,8.83%,Sarasota County,Florida
"Seminole County, Florida",461402,35175,48688,10.55%,Seminole County,Florida
"Sumter County, Florida",125044,35560,9445,7.55%,Sumter County,Florida
"Suwannee County, Florida",44046,22808,6287,14.27%,Suwannee County,Florida
"Taylor County, Florida",21870,17391,3782,17.29%,Taylor County,Florida
"Union County, Florida",15303,17010,1988,12.99%,Union County,Florida
"Volusia County, Florida",536487,28517,75014,13.98%,Volusia County,Florida
"Wakulla County, Florida",32321,25733,3533,10.93%,Wakulla County,Florida
"Walton County, Florida",68262,34475,8772,12.85%,Walton County,Florida
"Washington County, Florida",24764,18401,5291,21.37%,Washington County,Florida
"Appling County, Georgia",18440,21300,4042,21.92%,Appling County,Georgia
"Atkinson County, Georgia",8239,20338,2482,30.13%,Atkinson County,Georgia
"Bacon County, Georgia",11201,20326,2486,22.19%,Bacon County,Georgia
"Baker County, Georgia",3132,22525,717,22.89%,Baker County,Georgia
"Baldwin County, Georgia",45111,21716,9725,21.56%,Baldwin County,Georgia
"Banks County, Georgia",18708,21403,2488,13.3%,Banks County,Georgia
"Barrow County, Georgia",78991,25266,9907,12.54%,Barrow County,Georgia
"Bartow County, Georgia",104919,26493,14536,13.85%,Bartow County,Georgia
"Ben Hill County, Georgia",17033,17774,4925,28.91%,Ben Hill County,Georgia
"Berrien County, Georgia",19152,19547,4564,23.83%,Berrien County,Georgia
"Bibb County, Georgia",153200,25640,36511,23.83%,Bibb County,Georgia
"Bleckley County, Georgia",12807,20458,2022,15.79%,Bleckley County,Georgia
"Brantley County, Georgia",18756,20191,3654,19.48%,Brantley County,Georgia
"Brooks County, Georgia",15590,25700,3500,22.45%,Brooks County,Georgia
"Bryan County, Georgia",37063,31623,4565,12.32%,Bryan County,Georgia
"Bulloch County, Georgia",76120,22328,17874,23.48%,Bulloch County,Georgia
"Burke County, Georgia",22520,22173,4928,21.88%,Burke County,Georgia
"Butts County, Georgia",24090,27195,4565,18.95%,Butts County,Georgia
"Calhoun County, Georgia",6365,14005,1204,18.92%,Calhoun County,Georgia
"Camden County, Georgia",53231,29741,7961,14.96%,Camden County,Georgia
"Candler County, Georgia",10812,20687,3241,29.98%,Candler County,Georgia
"Carroll County, Georgia",117183,24993,19618,16.74%,Carroll County,Georgia
"Catoosa County, Georgia",66700,27308,6516,9.77%,Catoosa County,Georgia
"Charlton County, Georgia",13040,18323,2977,22.83%,Charlton County,Georgia
"Chatham County, Georgia",288496,32229,41529,14.4%,Chatham County,Georgia
"Chattahoochee County, Georgia",10560,23769,1418,13.43%,Chattahoochee County,Georgia
"Chattooga County, Georgia",24812,18715,4415,17.79%,Chattooga County,Georgia
"Cherokee County, Georgia",247515,36503,18356,7.42%,Cherokee County,Georgia
"Clarke County, Georgia",126176,23827,34146,27.06%,Clarke County,Georgia
"Clay County, Georgia",2951,17036,1144,38.77%,Clay County,Georgia
"Clayton County, Georgia",283538,20970,51525,18.17%,Clayton County,Georgia
"Clinch County, Georgia",6686,15152,2649,39.62%,Clinch County,Georgia
"Cobb County, Georgia",751218,40031,67319,8.96%,Cobb County,Georgia
"Coffee County, Georgia",43021,19905,7786,18.1%,Coffee County,Georgia
"Colquitt County, Georgia",45486,20529,11124,24.46%,Colquitt County,Georgia
"Columbia County, Georgia",150705,34579,11173,7.41%,Columbia County,Georgia
"Cook County, Georgia",17177,20128,4051,23.58%,Cook County,Georgia
"Coweta County, Georgia",143260,33875,15191,10.6%,Coweta County,Georgia
"Crawford County, Georgia",12325,23204,2430,19.72%,Crawford County,Georgia
"Crisp County, Georgia",22713,22933,7085,31.19%,Crisp County,Georgia
"Dade County, Georgia",16197,24000,2023,12.49%,Dade County,Georgia
"Dawson County, Georgia",24536,34239,2084,8.49%,Dawson County,Georgia
"Decatur County, Georgia",26682,21568,6203,23.25%,Decatur County,Georgia
"DeKalb County, Georgia",749323,36077,111182,14.84%,DeKalb County,Georgia
"Dodge County, Georgia",20829,20216,4075,19.56%,Dodge County,Georgia
"Dooly County, Georgia",13736,22716,2984,21.72%,Dooly County,Georgia
"Dougherty County, Georgia",89703,22059,24396,27.2%,Dougherty County,Georgia
"Douglas County, Georgia",143316,27743,18157,12.67%,Douglas County,Georgia
"Early County, Georgia",10312,19026,3086,29.93%,Early County,Georgia
"Echols County, Georgia",3981,23885,960,24.11%,Echols County,Georgia
"Effingham County, Georgia",60477,31704,5073,8.39%,Effingham County,Georgia
"Elbert County, Georgia",19166,22355,4029,21.02%,Elbert County,Georgia
"Emanuel County, Georgia",22533,19389,4785,21.24%,Emanuel County,Georgia
"Evans County, Georgia",10687,20725,2730,25.55%,Evans County,Georgia
"Fannin County, Georgia",25395,27940,3109,12.24%,Fannin County,Georgia
"Fayette County, Georgia",112303,44061,6167,5.49%,Fayette County,Georgia
"Floyd County, Georgia",97369,25776,17122,17.58%,Floyd County,Georgia
"Forsyth County, Georgia",228383,43832,12937,5.66%,Forsyth County,Georgia
"Franklin County, Georgia",22766,23187,5084,22.33%,Franklin County,Georgia
"Fulton County, Georgia",1036200,47163,144224,13.92%,Fulton County,Georgia
"Gilmer County, Georgia",30414,27282,5059,16.63%,Gilmer County,Georgia
"Glascock County, Georgia",2996,23541,550,18.36%,Glascock County,Georgia
"Glynn County, Georgia",84470,33848,15092,17.87%,Glynn County,Georgia
"Gordon County, Georgia",57202,24092,10186,17.81%,Gordon County,Georgia
"Grady County, Georgia",24828,22543,5490,22.11%,Grady County,Georgia
"Greene County, Georgia",17349,37818,3353,19.33%,Greene County,Georgia
"Gwinnett County, Georgia",915046,30636,97006,10.6%,Gwinnett County,Georgia
"Habersham County, Georgia",44626,23046,6381,14.3%,Habersham County,Georgia
"Hall County, Georgia",198667,29680,27432,13.81%,Hall County,Georgia
"Hancock County, Georgia",8515,16704,1340,15.74%,Hancock County,Georgia
"Haralson County, Georgia",29227,25074,4274,14.62%,Haralson County,Georgia
"Harris County, Georgia",34105,36273,2079,6.1%,Harris County,Georgia
"Hart County, Georgia",25773,23181,3750,14.55%,Hart County,Georgia
"Heard County, Georgia",11736,22714,1647,14.03%,Heard County,Georgia
"Henry County, Georgia",225356,29889,19070,8.46%,Henry County,Georgia
"Houston County, Georgia",153507,29462,21065,13.72%,Houston County,Georgia
"Irwin County, Georgia",9320,19878,2186,23.45%,Irwin County,Georgia
"Jackson County, Georgia",67885,28915,7564,11.14%,Jackson County,Georgia
"Jasper County, Georgia",13916,22814,2115,15.2%,Jasper County,Georgia
"Jeff Davis County, Georgia",15036,17833,3298,21.93%,Jeff Davis County,Georgia
"Jefferson County, Georgia",15618,19259,3711,23.76%,Jefferson County,Georgia
"Jenkins County, Georgia",8793,15531,2655,30.19%,Jenkins County,Georgia
"Johnson County, Georgia",9691,21087,2043,21.08%,Johnson County,Georgia
"Jones County, Georgia",28579,25854,3967,13.88%,Jones County,Georgia
"Lamar County, Georgia",18672,22413,3215,17.22%,Lamar County,Georgia
"Lanier County, Georgia",10380,19207,2309,22.24%,Lanier County,Georgia
"Laurens County, Georgia",47405,21665,12539,26.45%,Laurens County,Georgia
"Lee County, Georgia",29502,29348,3632,12.31%,Lee County,Georgia
"Liberty County, Georgia",61349,22811,9410,15.34%,Liberty County,Georgia
"Lincoln County, Georgia",7856,26918,1600,20.37%,Lincoln County,Georgia
"Long County, Georgia",18692,22639,3481,18.62%,Long County,Georgia
"Lowndes County, Georgia",115364,23348,27120,23.51%,Lowndes County,Georgia
"Lumpkin County, Georgia",32402,27155,4664,14.39%,Lumpkin County,Georgia
"McDuffie County, Georgia",21455,21625,5075,23.65%,McDuffie County,Georgia
"McIntosh County, Georgia",14174,26892,2465,17.39%,McIntosh County,Georgia
"Macon County, Georgia",13305,17883,2865,21.53%,Macon County,Georgia
"Madison County, Georgia",29218,24511,4953,16.95%,Madison County,Georgia
"Marion County, Georgia",8432,22541,1387,16.45%,Marion County,Georgia
"Meriwether County, Georgia",21106,21038,4806,22.77%,Meriwether County,Georgia
"Miller County, Georgia",5787,23870,1215,21.0%,Miller County,Georgia
"Mitchell County, Georgia",22244,18619,4592,20.64%,Mitchell County,Georgia
"Monroe County, Georgia",27171,33290,3625,13.34%,Monroe County,Georgia
"Montgomery County, Georgia",9058,22477,1529,16.88%,Montgomery County,Georgia
"Morgan County, Georgia",18507,33571,1681,9.08%,Morgan County,Georgia
"Murray County, Georgia",39724,21989,6118,15.4%,Murray County,Georgia
"Muscogee County, Georgia",195739,26097,39001,19.93%,Muscogee County,Georgia
"Newton County, Georgia",108079,25247,16559,15.32%,Newton County,Georgia
"Oconee County, Georgia",38132,44336,2336,6.13%,Oconee County,Georgia
"Oglethorpe County, Georgia",14931,23523,1894,12.69%,Oglethorpe County,Georgia
"Paulding County, Georgia",159825,27979,12969,8.11%,Paulding County,Georgia
"Peach County, Georgia",27145,24486,5627,20.73%,Peach County,Georgia
"Pickens County, Georgia",31387,31965,3175,10.12%,Pickens County,Georgia
"Pierce County, Georgia",19250,22268,4219,21.92%,Pierce County,Georgia
"Pike County, Georgia",18327,27639,1714,9.35%,Pike County,Georgia
"Polk County, Georgia",41908,23857,7634,18.22%,Polk County,Georgia
"Pulaski County, Georgia",11216,20746,2134,19.03%,Pulaski County,Georgia
"Putnam County, Georgia",21691,31504,3449,15.9%,Putnam County,Georgia
"Quitman County, Georgia",2289,18639,465,20.31%,Quitman County,Georgia
"Rabun County, Georgia",16645,28266,2939,17.66%,Rabun County,Georgia
"Randolph County, Georgia",6973,16691,2225,31.91%,Randolph County,Georgia
"Richmond County, Georgia",201852,22787,44200,21.9%,Richmond County,Georgia
"Rockdale County, Georgia",89717,28320,11665,13.0%,Rockdale County,Georgia
"Schley County, Georgia",5221,20965,897,17.18%,Schley County,Georgia
"Screven County, Georgia",13989,22213,3042,21.75%,Screven County,Georgia
"Seminole County, Georgia",8321,29614,1949,23.42%,Seminole County,Georgia
"Spalding County, Georgia",65306,24582,11476,17.57%,Spalding County,Georgia
"Stephens County, Georgia",25750,23546,3291,12.78%,Stephens County,Georgia
"Stewart County, Georgia",6293,16705,1416,22.5%,Stewart County,Georgia
"Sumter County, Georgia",30064,20654,7567,25.17%,Sumter County,Georgia
"Talbot County, Georgia",6321,21357,1187,18.78%,Talbot County,Georgia
"Taliaferro County, Georgia",1611,21416,340,21.1%,Taliaferro County,Georgia
"Tattnall County, Georgia",25382,18319,4421,17.42%,Tattnall County,Georgia
"Taylor County, Georgia",8116,21298,2067,25.47%,Taylor County,Georgia
"Telfair County, Georgia",16035,17202,3704,23.1%,Telfair County,Georgia
"Terrell County, Georgia",8737,20045,2719,31.12%,Terrell County,Georgia
"Thomas County, Georgia",44630,27454,8408,18.84%,Thomas County,Georgia
"Tift County, Georgia",40541,22974,8987,22.17%,Tift County,Georgia
"Toombs County, Georgia",26972,24399,6198,22.98%,Toombs County,Georgia
"Towns County, Georgia",11617,25972,1657,14.26%,Towns County,Georgia
"Treutlen County, Georgia",6795,21830,1768,26.02%,Treutlen County,Georgia
"Troup County, Georgia",69919,23124,14500,20.74%,Troup County,Georgia
"Turner County, Georgia",7943,19527,2558,32.2%,Turner County,Georgia
"Twiggs County, Georgia",8229,20979,1576,19.15%,Twiggs County,Georgia
"Union County, Georgia",23288,28953,3272,14.05%,Union County,Georgia
"Upson County, Georgia",26236,21747,5359,20.43%,Upson County,Georgia
"Walker County, Georgia",69039,24247,10892,15.78%,Walker County,Georgia
"Walton County, Georgia",91442,27889,10901,11.92%,Walton County,Georgia
"Ware County, Georgia",35593,20411,8213,23.07%,Ware County,Georgia
"Warren County, Georgia",5297,23448,1402,26.47%,Warren County,Georgia
"Washington County, Georgia",20436,20303,4116,20.14%,Washington County,Georgia
"Wayne County, Georgia",29788,21090,4209,14.13%,Wayne County,Georgia
"Webster County, Georgia",2610,24102,584,22.38%,Webster County,Georgia
"Wheeler County, Georgia",7928,14654,1977,24.94%,Wheeler County,Georgia
"White County, Georgia",29489,27406,3146,10.67%,White County,Georgia
"Whitfield County, Georgia",104237,23974,16355,15.69%,Whitfield County,Georgia
"Wilcox County, Georgia",8824,16183,1628,18.45%,Wilcox County,Georgia
"Wilkes County, Georgia",9844,24674,2294,23.3%,Wilkes County,Georgia
"Wilkinson County, Georgia",9010,22141,2077,23.05%,Wilkinson County,Georgia
"Worth County, Georgia",20494,24415,3847,18.77%,Worth County,Georgia
"Hawaii County, Hawaii",199459,30542,30632,15.36%,Hawaii County,Hawaii
"Honolulu County, Hawaii",984821,36816,79070,8.03%,Honolulu County,Hawaii
"Kalawao County, Hawaii",66,49118,6,9.09%,Kalawao County,Hawaii
"Kauai County, Hawaii",71769,33143,5752,8.01%,Kauai County,Hawaii
"Maui County, Hawaii",165979,35241,15189,9.15%,Maui County,Hawaii
"Ada County, Idaho",456849,34919,48513,10.62%,Ada County,Idaho
"Adams County, Idaho",4097,28026,494,12.06%,Adams County,Idaho
"Bannock County, Idaho",85765,25076,13704,15.98%,Bannock County,Idaho
"Bear Lake County, Idaho",6000,26378,998,16.63%,Bear Lake County,Idaho
"Benewah County, Idaho",9138,23255,1558,17.05%,Benewah County,Idaho
"Bingham County, Idaho",45839,23059,5039,10.99%,Bingham County,Idaho
"Blaine County, Idaho",22373,33645,2797,12.5%,Blaine County,Idaho
"Boise County, Idaho",7378,31975,787,10.67%,Boise County,Idaho
"Bonner County, Idaho",43611,27918,6262,14.36%,Bonner County,Idaho
"Bonneville County, Idaho",114392,28671,11856,10.36%,Bonneville County,Idaho
"Boundary County, Idaho",11845,25782,2250,19.0%,Boundary County,Idaho
"Butte County, Idaho",2581,30294,458,17.75%,Butte County,Idaho
"Camas County, Idaho",1048,30209,163,15.55%,Camas County,Idaho
"Canyon County, Idaho",217633,22232,28722,13.2%,Canyon County,Idaho
"Caribou County, Idaho",6953,26221,602,8.66%,Caribou County,Idaho
"Cassia County, Idaho",23690,21687,3334,14.07%,Cassia County,Idaho
"Clark County, Idaho",913,18860,121,13.25%,Clark County,Idaho
"Clearwater County, Idaho",8673,23412,989,11.4%,Clearwater County,Idaho
"Custer County, Idaho",4169,23805,760,18.23%,Custer County,Idaho
"Elmore County, Idaho",26743,23028,3959,14.8%,Elmore County,Idaho
"Franklin County, Idaho",13464,24185,1394,10.35%,Franklin County,Idaho
"Fremont County, Idaho",13020,23577,1613,12.39%,Fremont County,Idaho
"Gem County, Idaho",17331,22661,2916,16.83%,Gem County,Idaho
"Gooding County, Idaho",15148,23607,2443,16.13%,Gooding County,Idaho
"Idaho County, Idaho",16411,22672,2268,13.82%,Idaho County,Idaho
"Jefferson County, Idaho",28534,24677,1953,6.84%,Jefferson County,Idaho
"Jerome County, Idaho",23730,21461,4478,18.87%,Jerome County,Idaho
"Kootenai County, Idaho",157322,29948,18244,11.6%,Kootenai County,Idaho
"Latah County, Idaho",39505,27011,6571,16.63%,Latah County,Idaho
"Lemhi County, Idaho",7847,25075,938,11.95%,Lemhi County,Idaho
"Lewis County, Idaho",3838,24094,614,16.0%,Lewis County,Idaho
"Lincoln County, Idaho",5350,21656,641,11.98%,Lincoln County,Idaho
"Madison County, Idaho",39100,16585,11937,30.53%,Madison County,Idaho
"Minidoka County, Idaho",20705,24262,3428,16.56%,Minidoka County,Idaho
"Nez Perce County, Idaho",40217,29544,5215,12.97%,Nez Perce County,Idaho
"Oneida County, Idaho",4385,22120,495,11.29%,Oneida County,Idaho
"Owyhee County, Idaho",11552,22806,1832,15.86%,Owyhee County,Idaho
"Payette County, Idaho",23260,25768,3062,13.16%,Payette County,Idaho
"Power County, Idaho",7671,23343,871,11.35%,Power County,Idaho
"Shoshone County, Idaho",12609,23987,2398,19.02%,Shoshone County,Idaho
"Teton County, Idaho",11426,31191,512,4.48%,Teton County,Idaho
"Twin Falls County, Idaho",84869,25352,11975,14.11%,Twin Falls County,Idaho
"Valley County, Idaho",10709,33709,764,7.13%,Valley County,Idaho
"Washington County, Idaho",10057,22650,1328,13.2%,Washington County,Idaho
"Adams County, Illinois",66085,30343,8031,12.15%,Adams County,Illinois
"Alexander County, Illinois",6260,19519,1553,24.81%,Alexander County,Illinois
"Bond County, Illinois",16589,28119,2098,12.65%,Bond County,Illinois
"Boone County, Illinois",53537,31943,5341,9.98%,Boone County,Illinois
"Brown County, Illinois",6628,23070,549,8.28%,Brown County,Illinois
"Bureau County, Illinois",33122,30255,4040,12.2%,Bureau County,Illinois
"Calhoun County, Illinois",4830,28822,548,11.35%,Calhoun County,Illinois
"Carroll County, Illinois",14466,29166,1511,10.45%,Carroll County,Illinois
"Cass County, Illinois",12493,26992,1822,14.58%,Cass County,Illinois
"Champaign County, Illinois",209922,30578,38859,18.51%,Champaign County,Illinois
