Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
7 miles a second,Seven miles a second,9781606996140,"Van Cook, Marguerite [person] ; Wojnarowicz, David [person] ; Romberger, James [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2013,Biographical fiction ; Comic or graphic novel ; Fiction ; Novel
7 soldiers of victory,Seven soldiers of victory. Volume three,9781401209766,"Morrison, Grant, author [person] ; Irving, Frazer, artist [person]",,,England ; United States of America,New York,DC Comics,2006,Comic or graphic novel ; Science fiction
750 years in Paris,,9781907704932,"Mahé, Vincent, artist ; author [person]",,,England,London,Nobrow,2015,Comic or graphic novel ; Fiction ; Novel
750cc down Lincoln Highway,,9781681122458,"Chambaz, Bernard, author [person] ; Barroux, artist [person]",,,United States of America,New York,,2020,Comic or graphic novel ; Fiction ; Novel
80 years of Batman,Eighty years of Batman,9781401285388,,Detective comics,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction
87th Precinct,,,,,,England,"Oadby, Leicester",Thorpe & Porter,1964-,Comic or graphic novel
99 days,Ninety-nine days,9780857685032 ; 9781401215330 ; 9781401230890,"Donaldson, Kristian [person] ; Casali, Matteo [person]",Vertigo crime,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Detective and mystery ; Fiction ; Novel
99 problems,Marvel knights. Spider-Man ; Marvel knights. Spider-Man : 99 problems ; Ninety nine problems ; Spider-Man : 99 problems,9781846535765,"Alonso, Axel, editor [person] ; Wacker, Stephen, editor [person] ; Kindt, Matt, author [person] ; Rudy, Marco, artist [person] ; Brennan, Tom (Thomas), editor [person]",,,England,"Tunbridge Wells, Kent",Panini Publishing,2014,Comic or graphic novel ; Fiction
9th Sleep,Ninth sleep,9781569708347,"Tateno, Makoto [person]",,,United States of America,"Gardena, California",Digital Manga Publishing,2009,Comic or graphic novel ; Fantasy ; Fiction ; Novel
9th generation,IX generation. Volume 2 ; IX generation. Volume two ; IXth generation. 2 ; IXth generation. Volume 2 ; IXth generation. Volume two ; Ninth generation ; Ninth generation. 2,9781632156068,"Top Cow Productions [organisation] ; Sejic, Stjepan, artist [person] ; Hawkins, Matt, author ; writer [person] ; Rojo, Atilio, artist [person] ; Peteri, Troy, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2016,Comic or graphic novel ; Fiction
A Christmas carol : Mugby Junction,Mugby junction,9781597073455,"Meyrand, Estelle [person] ; Dickens, Charles, 1812-1870 [person] ; Rodolphe, 1948- [person]",Classics illustrated deluxe,9 [Classics illustrated deluxe],England ; United States of America,Godalming ; New York,Melia ; Papercutz,2012,Children's fiction ; Comic or graphic novel
A Christmas carol : the graphic novel,,9781906332174,"Dickens, Charles, 1812-1870 [person] ; Wilson, Seán Michael [person] ; Roach, David (David A.) [person] ; Collins, Mike, 1961 May 5- [person] ; Offredi, James [person]",,,England,Towcester,Classical Comics,2008,Children's fiction ; Comic or graphic novel
A Christmas carol : the night that changed the life of Eliza Scrooge,Charles Dickens's A Christmas carol ; Christmas carol,9781595829917,"Espinosa, Rod [person] ; Dickens, Charles, 1812-1870 [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel ; Novel
A Christmas carol,,9780237541422,"Dickens, Charles, 1812-1870 [person] ; Burningham, Hilary [person]",Graphic Dickens,,England,London,Evans,2010,Children's fiction ; Comic or graphic novel
A Contract with God : And Other Tenement Stories,,9780393609684,"McCloud, Scott, writer [person] ; Eisner, Will, author [person]",,,,,W. W. Norton,2017,Comic or graphic novel
A Cowboy in Paris,Cow-boy à Paris. English,9781849184311,"Saincantin, Jerome, translator [person] ; Achdé, 1961-, artist [person] ; Jul, author [person]",A Lucky Luke adventure,71 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2018,Children's fiction ; Comic or graphic novel ; Western
A Halloween treat,Edward Gorey's ghosts,9781608196166,"Gorey, Edward, 1925-2000 [person]",,,England ; United States of America,London ; New York,Bloomsbury,2012,Comic or graphic novel ; Novel
A Jew in communist Prague,,,Giardino [person],,,England ; United States of America,London ; New York,Turnaround,1997-,Comic or graphic novel ; Novel
A Roman rescue,,9781848771918,"Gerrard, K. A. (Kelly A.) [person] ; Dodd, Emma, 1969- [person]",A Charlie and,Bandit adventure [A Charlie and],England,Dorking,Templar,2011,Adventure ; Children's fiction ; Comic or graphic novel
A black and white world,Original sins ; Pavane ; Whatever happened to the Caped Crusader? : with other tales of the Dark Knight ; When is a door,9781401223038,"Sinclair, Alex [person] ; Gaiman, Neil [person] ; Kubert, Andy [person] ; Fletcher, Jared K. [person] ; Williams, Scott, 1960- [person]",Batman,,United States of America,New York,DC Comics,2009,Comic or graphic novel ; Novel
A blazing world : the unofficial companion to The league of extraordinary gentlemen volume two,,9781845763176,"Nevins, Jess [person]",,,England,London,Titan,2006,Comic or graphic novel ; Interview
A bloody kiss tonight,Koyoi wa kimi to chi no kiss o. English,9781569701706,"Tateno, Makoto [person]",,,United States of America,"Gardena, California",Digital Manga,2010,Comic or graphic novel ; Fiction ; Novel
A call to arms,,9781401269296,"Conner, Amanda, author [person] ; Palmiotti, Jimmy, author [person]",Harley Quinn,4 [Harley Quinn],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction
A carrot for Iznogoud,Carotte pour Iznogoud. English,9781849180214,"Goscinny, 1926-1977 [person] ; Tabary, 1930-2011 [person]",The adventures of the Grand Vizier Iznogoud,5 [The adventures of the Grand Vizier Iznogoud],England,Canterbury,Cinebook,2010,Children's fiction ; Comic or graphic novel
A castle in England,,9781910620199,"Greenberg, Isabel, artist [person] ; Exley, William, artist [person] ; Palmer, Becky, artist [person] ; Rhodes, Jamie, author [person] ; Lenkiewicz, Isaac, artist [person] ; Smith, Briony May, artist [person]",,,England,London,Nobrow,2017,Comic or graphic novel ; Fiction
A century of temptation,,9781569703045,"Shimotsuki, Kairi [person]",Yaoi,,England ; United States of America,"Carson, California ; London",Diamond,2013,Comic or graphic novel ; Fiction ; Novel
A chance in hell,,9780785189824,"Barberi, Carl, artist [person] ; Soule, Charles, author [person] ; Acker, Ben, author [person]",Marvel now! ; Thunderbolts,volume 4 [Thunderbolts],United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
A chequerboard of nights and days,,9781852001643,"Ellison, Gabriel, artist ; author [person]",,,England,Penzance,United Writers,2013,Comic or graphic novel ; Fiction ; Novel
A cold day in Hell : collected comic strips from the pages of Dr Who,,9781846534102,"Ridgway, John, 1940- [person] ; Furman, Simon [person]",Doctor Who,,England,Tunbridge Wells,Panini,2009,Comic or graphic novel ; Fiction
A cold day in Hell,,9781616551995,"Arcudi, John, author [person] ; Mignola, Michael, author [person] ; Snejbjerg, Peter, artist [person] ; Campbell, Laurence, 1969-, artist [person]",B.P.R.D. Hell on Earth,7 [B.P.R.D. Hell on Earth],United States of America,"Milwaukie, Oregon",Dark Horse,2014,Comic or graphic novel ; Fantasy ; Fiction
A complicated man,,9781606907573,"Walker, David, 1968-, author [person] ; Evely, Bilquis, artist [person]",Shaft,volume 1 [Shaft],United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2015,Comic or graphic novel ; Detective and mystery ; Fiction
A cowboy in high cotton,,9781849185950,"Achdé, 1961-, artist [person] ; Goscinny, 1926-1977, author [person] ; Jul, artist [person]",A Lucky Luke adventure,77 [A Lucky Luke adventure],England,Canterbury,Cinebook,2020,Children's fiction ; Comic or graphic novel ; Western
A cure for the Daltons,Guérison des Dalton. English,9781849180344,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",A Lucky Luke adventure,23 [A Lucky Luke adventure],England,Canterbury,Cinebook,2010,Children's fiction ; Comic or graphic novel ; Novel ; Western
A dame to kill for,,9781616552398,"Varley, Lynn, artist [person] ; Miller, Frank, 1957-, author [person]",Frank Miller's Sin City,2 [Frank Miller's Sin City],United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel ; Fiction ; Novel
A darkened wish,,9781684055388,"Walters, B. Dave, author [person] ; Fowler, Tess, artist [person]",Dungeons & dragons,,United States of America,San Diego,,2019,Comic or graphic novel ; Fantasy ; Fiction
A day in the office of Doctor Bugspit,,9781609050924,"Gravel, Elise [person]",Balloon toons,,England ; United States of America,Enfield ; New York,Blue Apple,2011,Children's fiction ; Comic or graphic novel ; Reader
A death in Stygia and other stories,,9781616551957,"Zelenetz, Alan, author [person] ; Docherty, Mike, author [person] ; Silvestri, Marc, artist [person] ; Nichols, Art, artist [person] ; Isherwood, Geof, 1960-, author [person]",The chronicles of King Conan,6 [The chronicles of King Conan],United States of America,"Milwaukie, Oregon",Dark Horse,2013,Comic or graphic novel ; Fiction
A death in the family,,9781848564510,"Pérez, George, 1954- [person]",Batman,,England,London,Titan,2009,Comic or graphic novel ; Fiction ; Science fiction
A devil and her love song,Akuma to love song. English ; Devil & her love song,,"MacFarlane, Ysabet Reinhardt [person] ; Tōmori, Miyoshi [person] ; Jn Productions [organisation]",,,United States of America,"San Francisco, California","Media, LLC",2012-,Comic or graphic novel ; Novel
A drifting life,Gekiga hyōryū. English,9781897299746,"Tomine, Adrian, 1974- [person] ; Nettleton, Taro [person] ; Tatsumi, Yoshihiro, 1935- [person]",,,Canada,Montreal,Drawn & Quarterly,2009,Autobiographical fiction ; Biography ; Comic or graphic novel ; Novel ; Translations into English
A fairy tale life,,9781613770221,"Shearer, Brian [person] ; Yates, Kelly [person] ; Sturges, Lilah [person]",Doctor Who,,England ; United States of America,"London ; San Diego, California",Diamond,2011,Comic or graphic novel ; Fiction ; Science fiction
A family matter,,9780393328134,"Eisner, Will [person]",,,England ; United States of America,London ; New York,W. W. Norton,2009,Comic or graphic novel ; Fiction ; Novel
A family secret : a graphic novel of courage and resistance brought to you by the Anne Frank House,Ontdekking. English,9780330519823,"Heuvel, Eric, 1960- [person] ; Anne Frank House [organisation]",,,England,London,Macmillan,2011,Children's fiction ; Comic or graphic novel
A field of feathers,,9781534305144,"Fawkes, Ray, artist ; author [person]",Underwinter,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel
A fishy situation,,9781603090872,"Runton, Andy, artist ; author [person]",Owly,6 [Owly],United States of America,"Marietta, Georgia",Top Shelf,2013,Children's fiction ; Comic or graphic novel
A flash in the park,"Authors & Artists ; Capital Crime ; Centre point ; Come down town ; Dancing with death ; Frozen ; Ghost milk ; Highbury ; Holborn ; I keep coming back ; It's dark in London : a graphic collection of short stories ; Lucky dip ; My life as a cat ; No blood, no film ; The body ; The court ; The griffin's egg ; The hard shoulder ; The interrogation ; The known of kensal rising ; The museum of lonliness ; Too late ; War and penge ; You are here",9781906838447,"Zarate, Oscar, 1942- [person]",,,England,London,SelfMadeHero,2012,Comic or graphic novel ; Novel
A flight of angels,Chaya Surah and the angel of death ; Guardian ; Original sin ; Shining host ; Story within the story within ; The Guardian ; The story within the story within,9780857688941 ; 9781401221478 ; 9781401232009,"Kwitney, Alisa, 1964- [person] ; Klein, Todd [person] ; Willingham, Bill [person] ; Black, Holly [person] ; Mitchell, Todd [person] ; Guay-Mitchell, Rebecca [person] ; Hawes, Louise [person]",,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fantasy ; Novel
A for Anonymous : how a mysterious hacker collective transformed the world,,9781568588797,"Kushner, David, 1968-, author [person] ; Shadmi, Koren, artist [person]",,,United States of America,New York,Bold Type,2020,Comic or graphic novel ; Fiction ; Novel
A game of thrones : the graphic novel,Game of thrones,,"Dillon, Marshall [person] ; Nunes, Ivan [person] ; Patterson, Tommy [person] ; Martin, George R. R. [person] ; Abraham, Daniel [person]",,,United States of America,New York,Bantam,2012-,Comic or graphic novel ; Fantasy ; Fiction ; Novel
A ghost in the tomb,,9781401267629,"Janín, Mikel, artist [person] ; Petrus, Hugo, artist [person] ; Sotomayor, Chris [person] ; Mangual, Carlos M. [person] ; Seeley, Tim, author [person] ; Lopez, Emilio, 1980- [person] ; Cox, Jeromy [person] ; King, Tom, 1978-, author [person] ; Napolitano, Tom [person] ; Mooney, Stephen, artist [person]",Grayson,volume 4 [Grayson],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
A god somewhere : an original graphic novel,,9781401226831 ; 9781848568792,"Hansen, Bjarne [person] ; Arcudi, John [person] ; Snejbjerg, Peter [person]",,,United States of America,"La Jolla, California",WildStorm Productions,2010,Comic or graphic novel
A goofy guide to penguins,,9781935179962,"Coudray, Philippe, artist [person] ; Coudray, Jean-Luc, 1960-, author [person]",Easy-to-read comics : level one,,United States of America,New York,Toon,2016,Children's literature ; Comic or graphic novel
A grand day out,,9780563380085,"Kerwin, Bill [person] ; Aardman Animations (Firm) [organisation]",Wallace & Gromit,,England,London,,1999,Comic or graphic novel ; Novel
A graphic cosmology : 24 artists take on 7 pages to tell their tales of the creation of everything,,9781907704024,"Spiro, Alex [person]",,,England,London,Nobrow,2010,Comic or graphic novel ; Fiction
A guy who floats,Tipo que flota. English,9788415153979,"Hitchcock, Aidan, translator [person] ; Krasmanski, Mariano, 1966-, illustrator [person] ; Ortiz, Guillermo, 1968-, author [person]",,,Spain,Madrid,Diábolo Ediciones,2013,Comic or graphic novel ; Novel
A handy kid,,9781593076856,"Tripp, Irving [person] ; Stanley, John, 1914-1993 [person]",Little Lulu,volume 16 [Little Lulu],England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2007,Comic or graphic novel
A home for scared people,,9781595824509,"Onstad, Chris [person]",Achewood,volume 3 [Achewood],United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel
A house without windows,,9781643375427,"Ellison, Marc, author [person] ; Kassaï, Didier, 1974-, artist [person]",,,United States of America,Los Angeles,Life Drawn,2021,Comic or graphic novel ; Fiction ; Novel
A kidnapped Santa Claus,,9780061782404,"Baum, L. Frank (Lyman Frank), 1856-1919 [person] ; Robinson, Alex, 1969- [person]",,,England ; United States of America,Enfield ; New York,HarperEntertainment,2009,Comic or graphic novel ; Fiction ; Novel
A kingdom lost,,9780785188629,,Thor epic collection,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction
